City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
197,Biak,-0.9131,122.8766,75.38,84,70,3.49,ID,broken clouds
198,Moctezuma,29.8,-109.6667,83.71,59,64,1.74,MX,broken clouds
199,Port Blair,11.6667,92.75,80.47,84,89,8.39,IN,overcast clouds
200,Skjervoy,70.0311,20.9714,46.4,84,100,6.98,NO,light rain
201,Ipswich,52.0592,1.1555,62.15,73,0,1.14,GB,clear sky
202,Belmonte,-15.8631,-38.8828,78.82,70,53,12.19,BR,broken clouds
203,Veraval,20.9,70.3667,78.84,78,63,8.32,IN,broken clouds
204,Karaton,-6.3424,106.1045,74.1,93,97,1.23,ID,overcast clouds
205,Touros,-5.1989,-35.4608,82.08,66,4,14.14,BR,clear sky
206,Monteagudo,-19.8167,-63.9833,77.36,46,97,8.46,BO,overcast clouds
207,Luang Prabang,19.8856,102.1347,71.56,99,85,1.25,LA,overcast clouds
208,Umm Lajj,25.0213,37.2685,82.85,64,0,7.49,SA,clear sky
209,Marrakesh,31.6315,-8.0083,87.87,37,20,9.22,MA,few clouds
210,Krasnoselkup,65.7,82.4667,49.12,89,100,17.36,RU,light rain
211,Lompoc,34.6391,-120.4579,78.01,64,40,1.99,US,scattered clouds
212,Mago,53.2514,140.1822,41.05,86,58,3.15,RU,broken clouds
213,Dorado,18.4588,-66.2677,94.17,58,75,11.5,PR,broken clouds
214,Damietta,31.4165,31.8133,77.27,62,0,11.72,EG,clear sky
215,Port Elizabeth,-33.918,25.5701,63.1,93,51,1.01,ZA,broken clouds
216,Buritis,-15.6178,-46.4233,93.31,32,78,3.22,BR,broken clouds
217,Ponta Do Sol,32.6667,-17.1,75.83,80,53,4.47,PT,broken clouds
218,Kaitangata,-46.2817,169.8464,40.5,94,23,3.91,NZ,few clouds
219,Buala,-8.145,159.5921,76.17,86,100,3.85,SB,overcast clouds
220,Puerto Escondido,15.85,-97.0667,85.03,51,40,10.36,MX,scattered clouds
221,Lavrentiya,65.5833,-171.0,40.51,95,100,25.75,RU,light rain
222,Shuangcheng,45.35,126.2833,56.41,65,64,17.52,CN,broken clouds
223,Sarangani,5.4033,125.4636,81.93,72,100,2.21,PH,overcast clouds
224,Palmer,42.1584,-72.3287,75.24,67,40,4.61,US,scattered clouds
225,Hendek,40.7994,30.7481,57.65,71,64,2.68,TR,broken clouds
226,Kudahuvadhoo,2.6708,72.8944,82.74,70,8,7.0,MV,clear sky
227,Bonthe,7.5264,-12.505,76.14,89,100,11.45,SL,light rain
228,Segou,13.4317,-6.2157,80.58,74,91,8.37,ML,overcast clouds
229,Kissamos,35.4939,23.6569,75.9,79,3,7.78,GR,clear sky
230,Lagoa,39.05,-27.9833,74.23,81,64,12.71,PT,broken clouds
231,Kampene,-3.6,26.6667,69.51,97,100,4.16,CD,moderate rain
232,Xining,36.6167,101.7667,54.68,62,100,2.62,CN,overcast clouds
233,Zhanaozen,43.3,52.8,77.23,17,0,12.08,KZ,clear sky
234,Gigmoto,13.7796,124.39,78.75,85,96,4.56,PH,overcast clouds
235,Pineville,31.3224,-92.4343,93.13,51,0,3.44,US,clear sky
236,Saint-Augustin,51.226,-58.6502,60.24,53,50,9.6,CA,scattered clouds
237,Meadow Lake,34.8014,-106.5436,82.83,49,18,9.17,US,few clouds
238,Carnarvon,-24.8667,113.6333,64.36,78,0,20.13,AU,clear sky
239,Mattru,7.6244,-11.8332,74.34,95,99,5.53,SL,light rain
240,Provideniya,64.3833,-173.3,41.23,97,100,20.6,RU,moderate rain
241,Kuito,-12.3833,16.9333,68.99,53,60,2.42,AO,light rain
242,Victoria,22.2855,114.1577,83.32,73,94,5.99,HK,overcast clouds
243,Berlevag,70.8578,29.0864,46.4,81,75,28.77,NO,broken clouds
244,Barguzin,53.6167,109.6167,32.04,90,45,4.47,RU,scattered clouds
245,Morros,-9.4467,-46.3003,93.11,24,73,5.28,BR,broken clouds
246,Kidal,18.4411,1.4078,96.49,28,46,13.0,ML,scattered clouds
247,Businga,3.3333,20.8833,71.58,98,100,0.31,CD,light rain
248,Bafq,31.6128,55.4107,83.79,13,0,5.5,IR,clear sky
249,Avera,33.194,-82.5271,93.54,34,0,5.3,US,clear sky
250,Barcelos,41.5388,-8.6151,77.92,71,0,3.33,PT,clear sky
251,Emerald,-23.5333,148.1667,66.34,85,12,4.88,AU,few clouds
252,Polovinnoye,54.7914,65.9864,60.71,21,10,4.07,RU,clear sky
253,Khudumelapye,-23.8833,24.75,63.64,13,0,8.03,BW,clear sky
254,Anderson,34.5334,-82.6499,90.48,43,0,5.75,US,clear sky
255,Kutum,14.2,24.6667,82.11,33,76,8.59,SD,broken clouds
256,Bojnurd,37.4747,57.329,69.75,23,0,0.0,IR,clear sky
257,Polis,35.0367,32.4264,78.62,61,3,11.01,CY,clear sky
258,Elizabeth City,36.2946,-76.2511,89.62,51,0,5.01,US,clear sky
259,Kadhan,24.481,68.9859,82.78,66,0,14.07,PK,clear sky
260,Ler,8.3018,30.1418,73.92,90,66,4.54,SS,light rain
261,Hobyo,5.3505,48.5268,77.34,89,20,19.64,SO,few clouds
262,Kununurra,-15.7667,128.7333,78.78,73,40,3.44,AU,scattered clouds
263,Comodoro Rivadavia,-45.8667,-67.5,48.06,76,75,11.5,AR,broken clouds
264,San Quintin,30.4833,-115.95,75.06,67,16,13.73,MX,few clouds
265,Constitucion,-35.3333,-72.4167,54.36,60,11,11.92,CL,few clouds
266,Lorengau,-2.0226,147.2712,79.05,80,17,2.66,PG,few clouds
267,Naryan-Mar,67.6713,53.087,37.58,76,96,16.78,RU,overcast clouds
268,Gushi,34.6425,109.5843,64.85,75,60,4.9,CN,broken clouds
269,Guerrero Negro,27.9769,-114.0611,78.6,59,64,7.87,MX,broken clouds
270,Jumla,29.2747,82.1838,58.51,91,56,3.09,NP,broken clouds
271,Muroto,33.2833,134.15,71.82,71,99,10.71,JP,overcast clouds
272,Uyemskiy,64.4743,40.8524,33.85,100,20,0.0,RU,few clouds
273,Abeche,13.8292,20.8324,88.41,39,52,5.08,TD,broken clouds
274,Ingham,42.6,-84.3833,83.84,79,51,16.31,US,broken clouds
275,Ambilobe,-13.2,49.05,76.32,59,67,2.24,MG,broken clouds
276,Ampanihy,-24.7,44.75,74.7,49,0,5.66,MG,clear sky
277,Ferme-Neuve,46.7001,-75.4493,61.12,76,100,12.53,CA,overcast clouds
278,Alice,27.7523,-98.0697,92.55,52,100,3.44,US,overcast clouds
279,Taitung,22.7583,121.1444,76.57,83,90,9.08,TW,overcast clouds
280,Cochrane,51.1834,-114.4687,56.61,49,0,14.45,CA,clear sky
281,Tasiilaq,65.6145,-37.6368,37.56,94,73,4.07,GL,broken clouds
282,Opuwo,-18.0607,13.84,74.01,25,0,9.33,NA,clear sky
283,Nuuk,64.1835,-51.7216,41.61,87,75,9.22,GL,broken clouds
284,Ulladulla,-35.35,150.4667,59.9,92,100,3.56,AU,light rain
285,Natal,-5.795,-35.2094,84.85,61,75,16.11,BR,broken clouds
286,Khujner,23.7833,76.6,75.94,83,100,6.93,IN,overcast clouds
287,Hami,42.8,93.45,68.18,15,0,3.18,CN,clear sky
288,The Pas,53.8251,-101.2541,44.53,90,100,8.28,CA,overcast clouds
289,Cidreira,-30.1811,-50.2056,64.08,79,85,10.29,BR,overcast clouds
290,Chavakkad,10.5333,76.05,78.21,85,6,6.24,IN,clear sky
291,Pangody,65.85,74.4859,41.99,82,98,14.9,RU,overcast clouds
292,Fare,-16.7,-151.0167,78.08,75,3,20.76,PF,light rain
293,Atambua,-9.1061,124.8925,73.71,84,92,3.83,ID,moderate rain
294,Sekoma,-24.4,23.8833,61.57,17,0,6.8,BW,clear sky
295,Goedereede,51.8175,3.9806,61.97,66,41,5.86,NL,scattered clouds
296,Tilichiki,60.4667,166.1,40.62,82,95,22.66,RU,overcast clouds
297,Warrnambool,-38.3833,142.4833,54.28,90,100,3.83,AU,overcast clouds
298,Bambous Virieux,-20.3428,57.7575,72.21,88,75,12.66,MU,broken clouds
299,Bowen,-20.0167,148.2333,72.99,84,47,6.51,AU,scattered clouds
300,Denizli,37.8402,29.0698,66.06,39,0,3.65,TR,clear sky
301,Ust-Kuyga,70.0167,135.6,30.78,99,100,3.91,RU,light snow
302,Codrington,-38.2667,141.9667,53.11,94,97,4.41,AU,overcast clouds
303,Rustenburg,-25.6676,27.2421,64.22,51,3,7.27,ZA,clear sky
304,Akhalgori,42.126,44.4833,65.62,77,98,5.21,GE,overcast clouds
305,Sioux Lookout,50.1001,-91.917,42.31,94,100,10.58,CA,overcast clouds
306,Bako,5.7833,36.5667,68.49,63,89,3.71,ET,light rain
307,Kodinar,20.7903,70.7031,77.54,80,71,8.43,IN,broken clouds
308,Tazovskiy,67.4667,78.7,44.98,94,98,17.58,RU,overcast clouds
309,Kulhudhuffushi,6.6221,73.07,81.59,75,7,8.9,MV,clear sky
310,Canto Do Buriti,-8.11,-42.9444,101.12,19,7,6.64,BR,clear sky
311,Qaqortoq,60.7167,-46.0333,44.96,65,28,6.46,GL,scattered clouds
312,Altamira,-3.2033,-52.2064,98.78,25,52,4.76,BR,broken clouds
313,Camana,-16.6228,-72.7111,62.6,77,83,13.33,PE,broken clouds
314,Ancud,-41.8697,-73.8203,48.22,78,74,13.06,CL,broken clouds
315,Burnie,-41.0667,145.9167,50.94,82,96,3.0,AU,overcast clouds
316,Padre Bernardo,-15.35,-48.5,89.42,31,95,2.93,BR,overcast clouds
317,Shelburne,44.0787,-80.2041,77.45,60,77,18.84,CA,broken clouds
318,Faya,18.3851,42.4509,66.72,56,34,1.52,SA,scattered clouds
319,Abu Samrah,35.3029,37.1841,72.18,65,0,16.08,SY,clear sky
320,Pa Sang,18.5262,98.9394,77.2,95,99,0.76,TH,overcast clouds
321,Leshukonskoye,64.8989,45.7622,36.97,93,15,4.21,RU,few clouds
322,Vostok,46.4856,135.8833,37.36,75,0,5.61,RU,clear sky
323,Mantua,45.1667,10.7833,63.64,63,83,1.99,IT,broken clouds
324,Turayf,31.6725,38.6637,75.67,32,0,10.6,SA,clear sky
325,Shingu,33.7333,135.9833,71.22,93,100,17.25,JP,overcast clouds
326,Potosi,-19.5836,-65.7531,63.46,17,40,20.71,BO,scattered clouds
327,Hualmay,-11.0964,-77.6139,66.22,71,63,12.33,PE,broken clouds
328,Dandong,40.1292,124.3947,49.86,70,23,3.89,CN,few clouds
329,Corni,47.65,26.5833,53.31,87,75,11.5,RO,broken clouds
330,Ruteng,-8.6136,120.4721,62.13,95,59,2.77,ID,broken clouds
331,Najran,17.4924,44.1277,82.56,18,8,1.97,SA,clear sky
332,San Jeronimo,-11.9472,-75.2829,65.64,38,55,6.58,PE,broken clouds
333,Auki,-8.7676,160.7034,75.7,91,100,2.82,SB,overcast clouds
334,Kifri,34.6959,44.9661,92.64,17,72,4.41,IQ,broken clouds
335,Rabo De Peixe,37.8,-25.5833,74.71,83,20,11.5,PT,few clouds
336,Kharitonovo,61.4009,47.4978,42.69,95,58,3.85,RU,broken clouds
337,Llaillay,-32.85,-70.9667,65.25,27,12,3.24,CL,few clouds
338,Acapulco,16.8634,-99.8901,85.82,66,75,5.75,MX,broken clouds
339,Namatanai,-3.6667,152.4333,78.21,77,80,3.2,PG,broken clouds
340,Trincomalee,8.5711,81.2335,80.85,73,4,12.62,LK,clear sky
341,Hassleholm,56.1591,13.7664,52.75,67,70,4.16,SE,broken clouds
342,Stonewall,50.1344,-97.3268,55.17,72,100,9.26,CA,overcast clouds
343,Saint-Leu,-21.15,55.2833,70.66,75,11,7.58,RE,few clouds
344,Shu,43.5983,73.7614,72.07,38,72,8.25,KZ,broken clouds
345,Tautira,-17.7333,-149.15,77.25,76,18,15.95,PF,light rain
346,Nampula,-15.1165,39.2666,73.35,64,0,11.5,MZ,clear sky
347,El Alto,-4.2714,-81.2147,71.26,62,100,15.03,PE,overcast clouds
348,Gold Coast,-28.0,153.4333,66.99,94,100,19.57,AU,overcast clouds
349,Isangel,-19.55,169.2667,75.31,94,40,9.22,VU,scattered clouds
350,Assai,-23.3733,-50.8414,66.06,72,97,3.04,BR,overcast clouds
351,Hasaki,35.7333,140.8333,63.28,63,99,20.74,JP,overcast clouds
352,Hede,33.7681,120.2517,59.13,76,6,4.81,CN,clear sky
353,Havelock,34.8791,-76.9013,87.78,66,0,1.01,US,clear sky
354,Witbank,-25.8713,29.2332,57.4,76,52,11.95,ZA,light rain
355,Luangwa,-15.6167,30.4167,82.81,25,0,3.49,ZM,clear sky
356,Fougamou,-1.2154,10.5838,73.9,99,100,1.95,GA,heavy intensity rain
357,Ostrovnoy,68.0531,39.5131,40.75,78,100,11.86,RU,overcast clouds
358,Salalah,17.0151,54.0924,80.69,83,75,8.05,OM,broken clouds
359,Axim,4.8699,-2.2405,76.71,83,43,5.84,GH,scattered clouds
360,Grand-Santi,4.25,-54.3833,89.06,51,72,1.32,GF,broken clouds
361,Lethem,3.3803,-59.7968,89.58,52,64,2.51,GY,broken clouds
362,Nantucket,41.2835,-70.0995,68.11,64,100,8.05,US,overcast clouds
363,Juneau,58.3019,-134.4197,56.1,94,100,13.8,US,overcast clouds
364,Sechura,-5.5569,-80.8222,75.83,54,100,13.33,PE,overcast clouds
365,Oranjemund,-28.55,16.4333,59.61,62,53,4.14,NA,broken clouds
366,Tikhvin,59.6451,33.5294,45.5,96,32,4.5,RU,scattered clouds
